leaf,count
"('i38', 'e10', 'c1', 'p10', 'l3')",4032
"('i06', 'e10', 'c5', 'p19', 'l3')",4032
"('i38', 'e10', 'c1', 'p13', 'l3')",4032
"('i38', 'e10', 'c1', 'p10', 'l1')",4032
"('i02', 'e08', 'c1', 'p19', 'l3')",4032
"('i06', 'e10', 'c5', 'p18', 'l3')",4032
"('i06', 'e10', 'c5', 'p14', 'l4')",4032
"('i38', 'e11', 'c1', 'p07', 'l2')",4032
"('i38', 'e10', 'c1', 'p21', 'l4')",4032
"('i06', 'e08', 'c5', 'p01', 'l2')",4032
"('i38', 'e01', 'c1', 'p10', 'l3')",4032
"('i14', 'e08', 'c5', 'p19', 'l3')",4032
"('i38', 'e10', 'c1', 'p19', 'l1')",4032
"('i06', 'e10', 'c5', 'p10', 'l3')",4032
"('i06', 'e08', 'c5', 'p08', 'l2')",4032
"('i38', 'e10', 'c1', 'p04', 'l3')",4032
"('i06', 'e10', 'c5', 'p03', 'l4')",4032
"('i02', 'e09', 'c1', 'p10', 'l3')",4032
"('i06', 'e08', 'c5', 'p24', 'l2')",4032
"('i06', 'e08', 'c5', 'p23', 'l2')",4032
"('i38', 'e11', 'c1', 'p19', 'l2')",4032
"('i17', 'e08', 'c5', 'p10', 'l3')",4032
"('i38', 'e11', 'c1', 'p12', 'l2')",4032
"('i02', 'e04', 'c1', 'p10', 'l3')",4032
"('i06', 'e10', 'c5', 'p11', 'l4')",4032
"('i38', 'e10', 'c1', 'p05', 'l3')",4032
"('i06', 'e10', 'c5', 'p32', 'l3')",4032
"('i06', 'e04', 'c5', 'p16', 'l1')",4032
"('i06', 'e08', 'c5', 'p05', 'l2')",4032
"('i06', 'e08', 'c5', 'p09', 'l2')",4032
"('i06', 'e11', 'c5', 'p17', 'l2')",4032
"('i38', 'e11', 'c1', 'p05', 'l2')",4032
"('i06', 'e08', 'c5', 'p11', 'l2')",4032
"('i06', 'e12', 'c5', 'p16', 'l3')",4032
"('i38', 'e10', 'c1', 'p01', 'l4')",4032
"('i06', 'e12', 'c5', 'p10', 'l3')",4032
"('i38', 'e10', 'c1', 'p18', 'l3')",4032
"('i38', 'e10', 'c1', 'p06', 'l3')",4032
"('i38', 'e10', 'c1', 'p29', 'l4')",4032
"('i06', 'e01', 'c5', 'p19', 'l3')",4032
"('i02', 'e04', 'c1', 'p19', 'l3')",4032
"('i02', 'e08', 'c1', 'p14', 'l3')",4032
"('i06', 'e10', 'c5', 'p05', 'l4')",4032
"('i06', 'e04', 'c5', 'p05', 'l1')",4032
"('i02', 'e08', 'c1', 'p11', 'l3')",4032
"('i38', 'e10', 'c1', 'p25', 'l3')",4032
"('i38', 'e10', 'c1', 'p09', 'l3')",4032
"('i06', 'e04', 'c5', 'p03', 'l1')",4032
"('i34', 'e03', 'c5', 'p19', 'l3')",4032
"('i06', 'e11', 'c5', 'p05', 'l2')",4032
"('i06', 'e10', 'c5', 'p29', 'l4')",4032
"('i06', 'e04', 'c5', 'p19', 'l1')",4032
"('i02', 'e01', 'c1', 'p11', 'l3')",4032
"('i06', 'e11', 'c5', 'p11', 'l2')",4032
"('i06', 'e04', 'c5', 'p15', 'l1')",4032
"('i38', 'e11', 'c1', 'p11', 'l2')",4032
"('i06', 'e10', 'c5', 'p04', 'l4')",4032
"('i06', 'e10', 'c5', 'p02', 'l3')",4032
"('i38', 'e10', 'c1', 'p14', 'l3')",4032
"('i06', 'e10', 'c5', 'p26', 'l3')",4032
"('i06', 'e04', 'c5', 'p24', 'l1')",4032
"('i15', 'e01', 'c2', 'p35', 'l3')",4032
"('i38', 'e10', 'c1', 'p18', 'l4')",4032
"('i06', 'e11', 'c5', 'p10', 'l2')",4032
"('i06', 'e10', 'c5', 'p07', 'l3')",4032
"('i06', 'e10', 'c5', 'p21', 'l4')",4032
"('i38', 'e10', 'c1', 'p24', 'l4')",4032
"('i06', 'e10', 'c5', 'p01', 'l4')",4032
"('i06', 'e10', 'c5', 'p25', 'l4')",4032
"('i46', 'e01', 'c1', 'p35', 'l3')",4032
"('i06', 'e10', 'c5', 'p23', 'l3')",4032
"('i06', 'e10', 'c5', 'p22', 'l3')",4032
"('i38', 'e10', 'c1', 'p12', 'l3')",4032
"('i06', 'e12', 'c5', 'p18', 'l3')",4032
"('i06', 'e12', 'c5', 'p29', 'l3')",4032
"('i06', 'e11', 'c5', 'p01', 'l2')",4032
"('i06', 'e12', 'c5', 'p01', 'l3')",4032
"('i06', 'e10', 'c5', 'p12', 'l4')",4032
"('i06', 'e10', 'c5', 'p07', 'l4')",4032
"('i06', 'e10', 'c5', 'p10', 'l1')",4032
"('i06', 'e04', 'c5', 'p10', 'l1')",4032
"('i38', 'e10', 'c1', 'p03', 'l4')",4032
"('i06', 'e04', 'c5', 'p01', 'l1')",4032
"('i46', 'e08', 'c4', 'p35', 'l3')",4032
"('i06', 'e10', 'c5', 'p35', 'l4')",4032
"('i06', 'e08', 'c5', 'p20', 'l2')",4032
"('i06', 'e08', 'c5', 'p07', 'l2')",4032
"('i38', 'e10', 'c1', 'p19', 'l4')",4032
"('i38', 'e10', 'c1', 'p09', 'l4')",4032
"('i06', 'e09', 'c5', 'p10', 'l2')",4032
"('i02', 'e09', 'c1', 'p19', 'l3')",4032
"('i06', 'e11', 'c5', 'p21', 'l2')",4032
"('i06', 'e08', 'c5', 'p06', 'l2')",4032
"('i06', 'e10', 'c5', 'p14', 'l3')",4032
"('i15', 'e09', 'c2', 'p35', 'l3')",4032
"('i46', 'e11', 'c1', 'p35', 'l3')",4032
"('i38', 'e10', 'c1', 'p11', 'l4')",4032
"('i06', 'e12', 'c5', 'p13', 'l3')",4032
"('i06', 'e10', 'c5', 'p10', 'l2')",4032
"('i38', 'e10', 'c1', 'p13', 'l4')",4032
"('i06', 'e08', 'c5', 'p35', 'l2')",4032
"('i38', 'e10', 'c1', 'p10', 'l4')",4032
"('i47', 'e04', 'c1', 'p35', 'l3')",4032
"('i06', 'e11', 'c5', 'p24', 'l2')",4032
"('i02', 'e01', 'c1', 'p10', 'l3')",4032
"('i38', 'e10', 'c1', 'p19', 'l3')",4032
"('i06', 'e10', 'c5', 'p11', 'l3')",4032
"('i06', 'e10', 'c5', 'p01', 'l3')",4032
"('i38', 'e10', 'c1', 'p21', 'l3')",4032
"('i06', 'e10', 'c5', 'p15', 'l3')",4032
"('i02', 'e08', 'c1', 'p29', 'l3')",4032
"('i06', 'e10', 'c5', 'p23', 'l4')",4032
"('i06', 'e10', 'c5', 'p19', 'l1')",4032
"('i17', 'e04', 'c5', 'p10', 'l3')",4032
"('i06', 'e12', 'c5', 'p03', 'l3')",4032
"('i06', 'e08', 'c5', 'p04', 'l2')",4032
"('i02', 'e08', 'c1', 'p10', 'l3')",4032
"('i17', 'e04', 'c5', 'p01', 'l3')",4032
"('i06', 'e10', 'c5', 'p13', 'l4')",4032
"('i38', 'e09', 'c1', 'p10', 'l2')",4032
"('i06', 'e10', 'c5', 'p35', 'l3')",4032
"('i38', 'e11', 'c1', 'p18', 'l2')",4032
"('i06', 'e10', 'c5', 'p08', 'l3')",4032
"('i06', 'e10', 'c5', 'p15', 'l4')",4032
"('i38', 'e10', 'c1', 'p07', 'l4')",4032
"('i06', 'e10', 'c5', 'p28', 'l4')",4032
"('i06', 'e10', 'c5', 'p04', 'l3')",4032
"('i06', 'e10', 'c5', 'p19', 'l4')",4032
"('i06', 'e10', 'c5', 'p06', 'l4')",4032
"('i38', 'e10', 'c1', 'p15', 'l4')",4032
"('i38', 'e10', 'c1', 'p17', 'l4')",4032
"('i38', 'e11', 'c1', 'p10', 'l2')",4032
"('i06', 'e08', 'c5', 'p10', 'l2')",4032
"('i06', 'e08', 'c5', 'p18', 'l2')",4032
"('i47', 'e01', 'c1', 'p35', 'l3')",4032
"('i06', 'e08', 'c5', 'p29', 'l2')",4032
"('i46', 'e08', 'c1', 'p35', 'l3')",4032
"('i38', 'e10', 'c1', 'p08', 'l4')",4032
"('i06', 'e12', 'c5', 'p07', 'l3')",4032
"('i38', 'e10', 'c1', 'p16', 'l4')",4032
"('i38', 'e11', 'c1', 'p15', 'l2')",4032
"('i06', 'e08', 'c5', 'p17', 'l2')",4032
"('i06', 'e08', 'c5', 'p12', 'l2')",4032
"('i38', 'e11', 'c1', 'p21', 'l2')",4032
"('i06', 'e12', 'c5', 'p35', 'l3')",4032
"('i06', 'e08', 'c5', 'p13', 'l2')",4032
"('i02', 'e08', 'c1', 'p13', 'l3')",4032
"('i06', 'e08', 'c5', 'p28', 'l2')",4032
"('i06', 'e10', 'c5', 'p31', 'l3')",4032
"('i38', 'e11', 'c1', 'p03', 'l2')",4032
"('i06', 'e11', 'c5', 'p29', 'l2')",4032
"('i06', 'e10', 'c5', 'p19', 'l2')",4032
"('i06', 'e10', 'c5', 'p08', 'l4')",4032
"('i38', 'e11', 'c1', 'p17', 'l2')",4032
"('i06', 'e01', 'c5', 'p10', 'l3')",4032
"('i38', 'e10', 'c1', 'p07', 'l3')",4032
"('i06', 'e10', 'c5', 'p06', 'l3')",4032
"('i38', 'e10', 'c1', 'p06', 'l4')",4032
"('i06', 'e08', 'c5', 'p15', 'l2')",4032
"('i38', 'e11', 'c1', 'p14', 'l2')",4032
"('i06', 'e11', 'c5', 'p03', 'l2')",4032
"('i06', 'e10', 'c5', 'p22', 'l4')",4032
"('i38', 'e11', 'c1', 'p08', 'l2')",4032
"('i38', 'e11', 'c1', 'p24', 'l2')",4032
"('i06', 'e08', 'c5', 'p02', 'l2')",4032
"('i06', 'e08', 'c5', 'p32', 'l2')",4032
"('i06', 'e08', 'c5', 'p22', 'l2')",4032
"('i06', 'e12', 'c5', 'p11', 'l3')",4032
"('i06', 'e10', 'c5', 'p02', 'l4')",4032
"('i38', 'e11', 'c1', 'p13', 'l2')",4032
"('i06', 'e12', 'c5', 'p15', 'l3')",4032
"('i06', 'e12', 'c5', 'p12', 'l3')",4032
"('i06', 'e12', 'c5', 'p05', 'l3')",4032
"('i34', 'e08', 'c5', 'p10', 'l3')",4032
"('i06', 'e10', 'c5', 'p12', 'l3')",4032
"('i06', 'e10', 'c5', 'p18', 'l4')",4032
"('i06', 'e11', 'c5', 'p35', 'l2')",4032
"('i06', 'e11', 'c5', 'p07', 'l2')",4032
"('i06', 'e12', 'c5', 'p21', 'l3')",4032
"('i38', 'e10', 'c1', 'p16', 'l3')",4032
