leaf,count,diff,isWhiteNoise,max,min,mean,std,diff_smooth,isWhiteNoise_smooth,max_smooth,min_smooth,mean_smooth,std_smooth
"('i38', 'e10', 'c1', 'p10', 'l3')",4032,0,0,155294,3548,57780.765625,29841.52291939353,0,0,145996,3548,57760.68377976191,29788.155751853476
"('i06', 'e10', 'c5', 'p19', 'l3')",4032,0,0,337141,4546,78136.37822420635,37615.773297816304,0,0,189199,4546,77869.41096230158,36696.92426247602
"('i38', 'e10', 'c1', 'p13', 'l3')",4032,0,0,29623,321,9415.018353174602,4670.15288873153,0,0,23269,321,9403.066964285714,4638.199768256844
"('i38', 'e10', 'c1', 'p10', 'l1')",4032,0,0,4096,1,127.60590277777777,121.1924269911222,0,0,491,1,125.1827876984127,91.13507152176025
"('i02', 'e08', 'c1', 'p19', 'l3')",4032,0,0,5698,63,1405.138392857143,1077.5217677220621,0,0,4625,63,1403.3953373015872,1072.6333016736016
"('i06', 'e10', 'c5', 'p18', 'l3')",4032,0,0,60682,938,19029.216765873014,9310.830318232489,0,0,42582,938,19020.72619047619,9281.472042313684
"('i06', 'e10', 'c5', 'p14', 'l4')",4032,0,0,4880,46,1208.1331845238096,634.3201924247998,0,0,3052,46,1206.4635416666667,628.9790193684609
"('i38', 'e11', 'c1', 'p07', 'l2')",4032,0,0,912,7,157.11780753968253,82.32451731498642,0,0,395,7,155.48040674603175,77.05397518814247
"('i38', 'e10', 'c1', 'p21', 'l4')",4032,0,0,6677,61,1643.1810515873017,901.1755137075336,0,0,4332,61,1638.1034226190477,887.0688403098168
"('i06', 'e08', 'c5', 'p01', 'l2')",4032,0,0,10762,162,1883.4962797619048,1072.2646178534687,0,0,5074,162,1868.5190972222222,1017.1586661457764
"('i38', 'e01', 'c1', 'p10', 'l3')",4032,0,0,1382,2,307.31919642857144,206.25938903244338,0,0,923,2,306.58184523809524,203.812326740842
"('i14', 'e08', 'c5', 'p19', 'l3')",4032,0,0,88432,3,806.4719742063492,3510.7764051520703,0,0,11145,3,581.4352678571429,1373.493017897984
"('i38', 'e10', 'c1', 'p19', 'l1')",4032,0,0,4107,1,82.36309523809524,99.29029961862341,0,0,380,1,80.2063492063492,56.94868617020919
"('i06', 'e10', 'c5', 'p10', 'l3')",4032,0,0,325240,6414,98874.50595238095,50036.6806464869,0,0,242757,6414,98826.51264880953,49878.5672497192
"('i06', 'e08', 'c5', 'p08', 'l2')",4032,0,0,5217,6,467.953125,384.726509533788,0,0,1621,6,453.50099206349205,319.30179673752144
"('i38', 'e10', 'c1', 'p04', 'l3')",4032,0,0,13148,64,4187.5359623015875,2198.2023520485895,0,0,10641,64,4184.650049603175,2190.090058669808
"('i06', 'e10', 'c5', 'p03', 'l4')",4032,0,0,10347,159,2381.1483134920636,1199.284252825216,0,0,5723,159,2376.0367063492063,1182.5179097111234
"('i02', 'e09', 'c1', 'p10', 'l3')",4032,0,0,694,7,162.08779761904762,113.1958603812485,0,0,482,7,161.8970734126984,112.51600446725949
"('i06', 'e08', 'c5', 'p24', 'l2')",4032,0,0,12641,64,1424.499255952381,878.2418030827195,0,0,4020,64,1402.1175595238096,774.1668900053477
"('i06', 'e08', 'c5', 'p23', 'l2')",4032,0,0,8208,31,779.5409226190476,490.96524655553696,0,0,2243,31,771.6860119047619,460.0087134944741
"('i38', 'e11', 'c1', 'p19', 'l2')",4032,0,0,2595,39,535.9888392857143,264.74891823534927,0,0,1322,39,533.1817956349206,256.43966932578616
"('i17', 'e08', 'c5', 'p10', 'l3')",4032,0,0,576,2,134.8998015873016,84.14425314459817,0,0,386,2,134.54910714285714,82.98590115718135
"('i38', 'e11', 'c1', 'p12', 'l2')",4032,0,0,766,3,142.82068452380952,73.56446489147817,0,0,360,3,142.3077876984127,71.66501769189989
"('i02', 'e04', 'c1', 'p10', 'l3')",4032,0,0,910,1,252.45386904761904,219.14217646736986,0,0,855,1,252.4360119047619,219.091522227294
"('i06', 'e10', 'c5', 'p11', 'l4')",4032,0,0,11675,135,2439.2614087301586,1232.0452182289066,0,0,5770,135,2434.5486111111113,1215.1853329720093
"('i38', 'e10', 'c1', 'p05', 'l3')",4032,0,0,25208,260,8426.160962301587,4333.697013085256,0,0,21163,260,8418.247271825398,4317.854915814714
"('i06', 'e10', 'c5', 'p32', 'l3')",4032,0,0,15467,234,6122.385416666667,3141.023132233796,0,0,15467,234,6122.385416666667,3141.023132233796
